Hospital,Reported_1,Reported_2,Reported_3,Reported_4,Reported_5,Reported_6,Reported_7,Reported_8,Reported_9,Reported_10,Reported_11,Reported_12,Reported_13,Reported_14,Reported_15,Reported_16,Reported_17,Reported_18,Reported_19,Reported_20,Reported_21,Reported_22,Reported_23,Reported_24,Reported_25
איכילוב-סוראסקי,114,27,30,47,82,75,48,45,32,31,24,18,16,11,10,11,7,2,4,2,,,,1,1
רבין-בילינסון,78,28,32,54,73,89,69,49,39,32,19,20,14,9,9,7,7,5,3,1,1,,,,
שיבא,64,65,27,39,55,69,72,63,49,30,30,20,7,14,9,8,3,7,2,5,,,,,
רמבם,63,17,25,37,29,34,61,45,38,44,34,57,40,27,34,19,15,6,8,2,2,,,1,
הדסה,55,39,4,13,22,18,18,51,44,45,50,32,46,54,42,29,31,15,9,9,2,8,1,1,
מאיר,43,85,23,35,39,53,63,63,52,54,35,21,23,12,14,7,6,6,3,,,1,,,
סורוקה,40,13,19,19,19,16,25,25,42,45,52,60,56,42,35,37,35,26,11,5,8,4,2,2,
כרמל,35,24,38,17,19,15,30,29,35,42,54,34,57,56,41,36,24,24,16,5,4,3,,,
שערי-צדק,26,38,19,14,10,20,5,11,20,10,30,43,49,37,53,59,59,47,40,22,13,,3,6,4
אסף-הרופא,24,86,93,53,42,41,42,27,23,39,36,33,33,24,14,12,6,2,4,1,2,,1,,
המרכזי-בעמק,20,11,22,24,13,17,14,11,21,18,25,25,25,37,36,53,65,49,58,46,26,17,5,,
אסותא-אשדוד,18,29,40,57,69,41,30,32,36,29,34,36,31,29,27,28,30,16,10,6,7,,,3,
בני-ציון,15,63,19,18,11,9,19,20,24,34,28,52,50,56,68,50,46,26,14,11,1,1,3,,
וולפסון,11,42,122,50,39,31,29,20,22,33,38,25,30,38,22,45,18,10,7,2,3,,1,,
הלל-יפה,9,7,33,65,33,18,16,19,23,17,22,33,29,23,38,53,61,75,37,17,7,2,,1,
רבין-השרון,9,38,12,25,30,29,43,54,71,56,44,29,35,39,44,23,29,9,8,3,3,2,1,1,1
קפלן,7,12,66,47,25,27,24,36,36,33,28,42,33,60,38,39,36,25,14,5,1,1,2,,1
ברזילי,2,,,,,2,2,,2,5,5,4,5,9,8,16,12,16,20,36,65,260,103,33,33
פוריה,2,1,1,,3,,4,,,,,1,2,,3,2,4,5,4,18,14,36,81,402,55
ברזילי,1,,,1,2,5,,,,2,1,,1,,1,,1,1,6,10,15,25,31,88,447
נהריה,1,,3,4,8,8,4,1,1,,4,4,2,4,5,6,10,21,15,39,45,104,311,27,11
נצרת,1,1,,,,2,3,6,,1,1,,2,2,1,5,13,23,59,107,218,83,53,23,34
יוספטל,,11,8,5,7,8,6,12,10,12,22,17,25,33,53,44,57,101,83,50,24,19,9,11,11
לניאדו,,1,1,4,3,1,5,3,6,11,14,10,18,9,20,18,21,47,67,151,124,47,14,24,19
מעיני-הישועה,,,1,10,5,10,6,16,12,15,8,22,9,13,13,31,42,74,136,85,53,25,17,14,21
