priorities,real_happiness,after_strategy_happiness,strategy_id,num_of_flips
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'מעיני-הישועה', 'וולפסון', 'הלל-יפה', 'אסף-הרופא', 'איכילוב-סוראסקי', 'יוספטל', 'שערי-צדק', 'המרכזי-בעמק', 'נצרת', 'קפלן', 'רבין-השרון', 'ברזילי', 'הדסה', 'אסותא-אשדוד', 'רמבם', 'מאיר', 'רבין-בילינסון', 'כרמל', 'שיבא']",484.0,576.0,6,3
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'פוריה', 'איכילוב-סוראסקי', 'וולפסון', 'שיבא', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'ברזילי', 'מאיר', 'הדסה', 'רבין-בילינסון', 'מעיני-הישועה', 'כרמל', 'רמבם', 'אסותא-אשדוד', 'רבין-השרון', 'יוספטל', 'נצרת']",444.67999874,455.29596481600004,1,4
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'פוריה', 'איכילוב-סוראסקי', 'שיבא', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'מאיר', 'ברזילי', 'רבין-בילינסון', 'הדסה', 'מעיני-הישועה', 'כרמל', 'רמבם', 'אסותא-אשדוד', 'רבין-השרון', 'יוספטל', 'נצרת']",444.67999874,456.07000128000004,2,4
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'פוריה', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שיבא', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'מאיר', 'ברזילי', 'הדסה', 'מעיני-הישועה', 'רבין-בילינסון', 'רמבם', 'אסותא-אשדוד', 'כרמל', 'רבין-השרון', 'יוספטל', 'נצרת']",444.67999874,445.54000068000005,3,4
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'פוריה', 'איכילוב-סוראסקי', 'שיבא', 'וולפסון', 'שערי-צדק', 'קפלן', 'הלל-יפה', 'אסף-הרופא', 'ברזילי', 'מאיר', 'הדסה', 'רבין-בילינסון', 'מעיני-הישועה', 'כרמל', 'אסותא-אשדוד', 'רמבם', 'רבין-השרון', 'יוספטל', 'נצרת']",444.67999874,447.72000032,5,4
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'פוריה', 'סורוקה', 'לניאדו', 'מעיני-הישועה', 'וולפסון', 'הלל-יפה', 'יוספטל', 'אסף-הרופא', 'נצרת', 'איכילוב-סוראסקי', 'המרכזי-בעמק', 'רבין-השרון', 'שערי-צדק', 'קפלן', 'אסותא-אשדוד', 'ברזילי', 'הדסה', 'רמבם', 'מאיר', 'כרמל', 'רבין-בילינסון', 'שיבא']",444.67999874,576.0,6,4
"['המרכזי-בעמק', 'רבקה-זיו', 'נהריה', 'בני-ציון', 'לניאדו', 'סורוקה', 'איכילוב-סוראסקי', 'פוריה', 'שיבא', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'מאיר', 'ברזילי', 'רבין-בילינסון', 'הדסה', 'מעיני-הישועה', 'כרמל', 'רמבם', 'אסותא-אשדוד', 'רבין-השרון', 'יוספטל', 'נצרת']",444.67999874,484.0,8,4
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'פוריה', 'לניאדו', 'שיבא', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'אסף-הרופא', 'ברזילי', 'רבין-בילינסון', 'רבין-השרון', 'כרמל', 'מעיני-הישועה', 'רמבם', 'אסותא-אשדוד', 'הדסה', 'יוספטל', 'נצרת']",421.65000000000003,460.82999987999995,0,5
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'פוריה', 'איכילוב-סוראסקי', 'שיבא', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'אסף-הרופא', 'מאיר', 'ברזילי', 'רבין-השרון', 'רבין-בילינסון', 'מעיני-הישועה', 'כרמל', 'רמבם', 'אסותא-אשדוד', 'הדסה', 'יוספטל', 'נצרת']",421.65000000000003,457.91999964,1,5
"['רבקה-זיו', 'נהריה', 'בני-ציון', 'המרכזי-בעמק', 'סורוקה', 'לניאדו', 'פוריה', 'שיבא', 'איכילוב-סוראסקי', 'וולפסון', 'הלל-יפה', 'שערי-צדק', 'קפלן', 'מאיר', 'אסף-הרופא', 'ברזילי', 'רבין-בילינסון', 'רבין-השרון', 'כרמל', 'רמבם', 'מעיני-הישועה', 'אסותא-אשדוד', 'הדסה', 'יוספטל', 'נצרת']",421.65000000000003,444.93999876000004,2,5
